LoanID,CustomerID,BranchID,LoanType,PrincipalAmount,InterestRate,TermMonths,StartDate,Status
1,7141,818,Student,20851.23,9.79,12,2024-01-29,Active
2,405,444,Mortgage,402055.47,10.82,120,2022-10-09,Active
3,1597,674,Student,138634.64,4.97,48,2022-07-17,Active
4,6330,859,Personal,304964.66,8.67,24,2022-01-25,Active
5,3491,754,Student,308034.46,5.92,24,2024-12-12,Active
6,3280,381,Student,148411.36,12.18,24,2024-04-28,Active
7,8960,323,Student,42118.01,8.7,60,2024-09-14,Defaulted
8,9415,854,Student,61821.66,11.59,24,2022-02-07,Active
9,3214,194,Student,300909.92,9.94,60,2023-01-03,Paid
10,6227,130,Auto,365168.53,9.92,24,2021-11-02,Defaulted
11,4129,127,Auto,358486.36,10.06,36,2025-01-20,Active
12,6341,467,Student,70922.5,4.16,12,2023-05-11,Active
13,9329,716,Mortgage,253539.49,5.16,24,2025-09-11,Active
14,8705,130,Mortgage,138324.49,9.14,360,2025-01-13,Active
15,3328,189,Personal,373423.88,12.17,48,2021-12-23,Active
16,9158,814,Auto,66798.72,8.37,48,2023-10-15,Active
17,8041,877,Student,147128.38,8.92,24,2025-08-29,Active
18,497,320,Auto,320740.53,10.6,24,2023-10-09,Defaulted
19,4024,189,Student,115745.64,5.6,12,2024-01-17,Active
20,9626,381,Auto,371968.71,10.43,12,2023-08-13,Paid
21,1919,444,Student,342051.18,4.56,60,2023-12-06,Paid
22,3903,792,Personal,99300.5,11.45,60,2023-01-01,Active
23,6048,204,Student,54796.0,8.47,120,2021-07-25,Paid
24,2238,617,Auto,483444.96,9.55,60,2021-05-06,Paid
25,6971,754,Mortgage,390177.93,7.73,48,2025-04-05,Active
26,3819,328,Mortgage,445288.06,10.02,36,2023-10-18,Defaulted
27,6892,125,Personal,141062.19,12.26,12,2024-03-05,Active
28,3192,833,Student,401147.63,9.11,24,2025-02-22,Active
29,1774,881,Mortgage,472265.51,12.06,120,2025-06-20,Active
30,3256,132,Mortgage,323328.88,9.19,12,2025-04-19,Paid
31,5766,617,Mortgage,360160.75,8.27,24,2023-10-15,Active
32,6665,350,Personal,321410.93,11.09,120,2022-05-05,Active
33,6444,242,Auto,461219.5,5.64,24,2023-10-22,Active
34,3333,263,Student,230359.63,5.12,24,2024-11-19,Active
35,2466,881,Auto,283480.45,10.92,12,2024-04-04,Active
36,4553,928,Personal,111920.79,5.21,360,2022-03-01,Active
37,3442,754,Mortgage,14375.34,11.94,12,2025-07-29,Active
38,9628,814,Auto,497028.05,8.12,36,2023-02-05,Active
39,9961,881,Mortgage,76066.56,4.69,60,2022-02-19,Active
40,9901,328,Personal,386261.06,7.01,12,2024-09-22,Active
41,5928,674,Personal,17853.08,8.62,120,2023-05-23,Active
42,6187,325,Personal,56431.03,5.32,36,2023-01-07,Active
43,6973,320,Student,359857.81,12.12,24,2022-10-19,Active
44,2493,754,Student,286659.64,6.0,24,2024-06-06,Active
45,1548,877,Mortgage,282963.37,5.77,360,2023-03-13,Active
46,8460,194,Mortgage,37437.2,9.77,360,2023-05-16,Active
47,1730,765,Personal,343801.31,10.23,360,2024-12-30,Paid
48,3591,704,Mortgage,184707.42,7.05,36,2022-12-26,Paid
49,3378,881,Mortgage,18518.78,11.09,120,2021-08-25,Active
50,7336,467,Auto,473627.62,9.41,12,2024-02-21,Paid
51,1331,858,Personal,102308.12,7.94,48,2025-03-13,Active
52,8437,338,Personal,403464.05,3.79,360,2024-04-25,Defaulted
53,4820,350,Mortgage,156750.52,9.05,12,2025-04-02,Active
54,4539,532,Student,336879.64,7.93,36,2025-08-11,Active
55,3226,559,Auto,291330.57,11.0,120,2024-07-16,Active
56,347,925,Auto,290440.35,8.37,12,2024-09-29,Active
57,903,532,Auto,256396.76,12.28,120,2021-10-14,Active
58,3267,858,Student,332356.97,7.78,360,2025-03-02,Active
59,2740,792,Personal,462709.77,9.77,24,2021-10-22,Active
60,4869,925,Mortgage,109912.02,10.62,12,2022-11-25,Active
61,4734,259,Personal,268299.09,8.92,12,2024-03-04,Active
62,8993,674,Mortgage,345648.94,12.01,12,2021-07-05,Active
63,7300,325,Auto,453413.69,11.76,24,2025-03-12,Active
64,1669,858,Student,142673.14,5.14,36,2024-07-23,Active
65,9268,320,Personal,88010.94,11.0,24,2024-12-12,Active
66,2203,928,Student,398383.56,12.2,120,2024-12-09,Active
67,6505,818,Mortgage,308147.46,5.03,48,2021-09-09,Paid
68,5330,384,Mortgage,372170.12,10.53,60,2024-08-06,Active
69,9983,242,Student,426856.78,9.72,60,2026-03-17,Paid
70,6031,716,Mortgage,442075.55,7.07,36,2024-05-07,Active
71,1049,658,Auto,468286.38,6.06,24,2021-06-22,Active
72,1269,814,Student,276448.02,9.08,120,2025-09-11,Active
73,5594,259,Personal,227028.19,4.01,36,2024-05-19,Active
74,4032,877,Mortgage,418734.56,4.47,120,2022-07-27,Active
75,1475,444,Auto,139205.81,7.33,24,2024-12-09,Active
76,5751,703,Auto,387864.94,4.76,36,2022-01-03,Active
77,8067,704,Personal,223407.99,10.2,12,2021-09-17,Active
78,2553,854,Auto,410575.04,5.08,120,2024-11-21,Active
79,7576,674,Student,128439.05,3.96,60,2025-09-03,Active
80,5061,877,Mortgage,166974.79,12.29,120,2024-10-18,Paid
81,987,189,Personal,412448.8,4.99,60,2024-06-24,Active
82,6476,854,Personal,494406.62,6.7,60,2024-04-03,Active
83,7129,242,Student,165736.66,7.64,12,2023-02-02,Active
84,6107,814,Student,97361.7,7.44,48,2022-06-20,Active
85,504,818,Auto,122861.7,6.99,24,2024-08-03,Active
86,7045,928,Personal,10537.67,5.4,360,2023-06-24,Active
87,338,259,Mortgage,399115.31,10.34,48,2025-07-14,Active
88,9113,833,Mortgage,71739.78,5.82,60,2023-08-14,Active
89,9194,881,Mortgage,116279.89,7.66,60,2022-03-23,Active
90,5960,859,Student,316151.0,3.79,360,2023-07-09,Active
91,5015,444,Auto,118242.62,7.22,24,2021-11-09,Active
92,8519,204,Mortgage,220622.83,7.52,36,2022-11-06,Active
93,7852,765,Auto,464735.72,7.35,36,2023-08-17,Active
94,8118,818,Auto,351394.17,11.81,48,2021-06-06,Active
95,4645,242,Student,356259.66,4.14,24,2023-07-10,Active
96,7842,381,Auto,249225.62,7.19,36,2022-12-22,Active
97,4099,195,Auto,403570.52,9.51,360,2026-02-24,Active
98,6187,703,Auto,228324.23,6.78,360,2025-01-07,Active
99,6192,881,Mortgage,238297.62,8.41,48,2025-09-26,Paid
100,2158,754,Auto,33081.29,6.16,60,2023-09-21,Active
101,9757,617,Student,315735.46,7.48,120,2025-09-09,Active
102,1267,833,Student,398185.18,8.28,36,2023-02-06,Paid
103,5912,338,Personal,101799.24,5.77,24,2024-01-08,Active
104,111,617,Auto,341401.22,6.05,48,2026-04-09,Paid
105,4424,194,Student,250036.5,10.44,12,2024-08-10,Active
106,3372,259,Auto,38137.36,6.04,120,2021-09-26,Active
107,7637,189,Mortgage,470727.74,4.11,120,2021-05-16,Active
108,8346,303,Auto,68220.94,4.78,48,2021-05-10,Active
109,4076,320,Mortgage,84443.7,9.51,12,2021-11-18,Active
110,5976,195,Auto,8903.81,12.28,48,2026-01-03,Active
111,7020,328,Student,193589.39,10.98,360,2022-08-19,Defaulted
112,5566,532,Auto,132325.95,4.83,60,2021-05-18,Active
113,4677,859,Mortgage,408461.68,5.8,48,2025-09-05,Active
114,1338,818,Personal,389630.56,9.66,60,2025-06-19,Active
115,5350,674,Auto,6725.06,6.79,360,2022-03-18,Paid
116,3165,381,Mortgage,103475.64,8.27,12,2024-08-09,Active
117,905,106,Student,413571.9,5.47,120,2023-02-26,Active
118,3804,259,Personal,86369.45,8.82,48,2025-10-30,Active
119,3909,303,Auto,351885.57,4.57,120,2026-01-01,Active
120,6753,130,Auto,82536.55,9.5,48,2022-05-07,Active
121,9337,859,Student,140733.45,8.86,24,2023-02-22,Active
122,7894,617,Auto,116214.7,8.92,360,2026-04-05,Paid
123,6231,242,Mortgage,373980.99,6.56,24,2022-07-18,Active
124,4904,881,Personal,435298.42,3.53,360,2025-05-14,Active
125,1445,125,Student,262538.33,6.25,36,2022-01-01,Active
126,9005,127,Mortgage,125732.81,8.35,36,2026-02-16,Active
127,761,125,Mortgage,304153.07,3.7,36,2022-02-13,Active
128,2714,814,Student,320370.56,6.5,60,2025-08-12,Active
129,2825,716,Auto,418299.2,8.88,48,2026-03-17,Active
130,5977,303,Student,371167.51,10.42,120,2023-03-09,Defaulted
131,3795,928,Mortgage,209759.24,7.83,36,2026-01-24,Active
132,3142,818,Student,330417.64,9.49,12,2022-03-18,Active
133,8381,704,Personal,320877.92,3.74,48,2025-11-08,Paid
134,3439,130,Auto,130719.58,5.29,120,2025-05-17,Active
135,9163,199,Personal,224001.61,5.03,360,2022-05-28,Active
136,3929,381,Auto,421178.55,11.06,120,2022-02-17,Active
137,986,854,Auto,446774.32,12.4,360,2024-10-29,Active
138,8402,320,Personal,433277.37,11.66,12,2024-02-20,Active
139,1500,467,Auto,414829.79,5.69,120,2021-05-02,Active
140,1125,214,Student,461611.41,9.36,60,2022-02-20,Active
141,6503,204,Personal,348676.67,7.84,60,2025-10-10,Defaulted
142,5546,384,Student,255230.82,4.6,360,2021-12-09,Active
143,7940,881,Auto,305185.86,4.9,12,2025-04-08,Active
144,3455,814,Personal,315278.78,8.11,12,2024-05-22,Active
145,2659,881,Auto,89833.94,11.79,360,2025-03-12,Active
146,6688,765,Personal,9213.74,11.21,36,2024-11-21,Active
147,8827,792,Auto,55297.52,7.48,12,2021-05-18,Defaulted
148,7723,444,Student,250274.71,8.43,24,2022-03-08,Paid
149,9262,448,Student,403688.56,5.96,24,2025-08-29,Active
150,8100,754,Student,42933.76,11.07,48,2021-08-01,Active
151,597,195,Personal,217500.34,6.24,120,2025-09-25,Active
152,2584,263,Personal,186641.73,4.7,12,2024-12-23,Active
153,7154,792,Mortgage,481890.47,5.9,12,2025-01-18,Active
154,8597,350,Mortgage,348807.34,6.01,60,2024-01-11,Paid
155,929,194,Personal,196332.77,7.91,48,2022-05-17,Paid
156,6341,532,Personal,180707.6,6.71,12,2022-05-20,Active
157,8751,199,Personal,128324.83,9.0,48,2024-10-23,Active
158,5864,125,Auto,13016.18,4.43,120,2022-06-05,Defaulted
159,3922,703,Personal,112866.54,7.52,60,2023-12-01,Active
160,5947,881,Auto,391817.28,6.9,24,2022-01-17,Active
161,8891,467,Auto,220002.8,11.92,36,2024-02-25,Active
162,530,877,Mortgage,340102.02,7.45,24,2022-05-28,Active
163,4948,765,Mortgage,313970.96,10.2,24,2025-09-20,Active
164,5965,617,Personal,118316.91,9.11,12,2023-03-23,Paid
165,8048,303,Mortgage,390931.16,4.01,48,2022-09-28,Active
166,4035,350,Mortgage,282909.64,4.08,24,2025-08-26,Active
167,6386,338,Mortgage,402865.66,5.75,36,2022-03-23,Defaulted
168,8329,350,Auto,111297.0,7.26,24,2024-09-29,Paid
169,4602,877,Mortgage,332140.12,8.38,12,2025-01-09,Active
170,4284,716,Student,155423.14,8.9,36,2024-03-06,Active
171,4380,529,Auto,385513.03,8.81,60,2021-12-29,Active
172,5845,323,Personal,254333.46,9.46,24,2025-06-16,Active
173,9888,325,Student,272799.81,9.09,12,2025-06-22,Paid
174,5194,674,Student,444265.78,11.38,36,2023-01-08,Active
175,9327,214,Mortgage,304830.34,4.75,36,2021-12-21,Defaulted
176,4763,132,Personal,311343.5,8.67,120,2023-01-24,Paid
177,6105,127,Personal,392802.35,4.06,48,2022-01-08,Active
178,8055,328,Auto,309807.99,11.57,12,2025-03-25,Active
179,648,559,Mortgage,370023.27,5.24,12,2023-10-10,Active
180,8903,559,Mortgage,185623.49,4.76,48,2026-02-25,Active
181,8692,448,Personal,192638.87,10.04,120,2023-05-28,Active
182,3715,130,Mortgage,449372.23,7.86,24,2022-04-18,Active
183,1201,925,Auto,194230.06,4.9,60,2023-05-07,Defaulted
184,8070,928,Student,153383.85,3.75,48,2024-02-01,Defaulted
185,3857,833,Personal,338172.92,8.49,48,2022-06-25,Active
186,4429,263,Student,334216.35,9.1,360,2025-06-20,Active
187,337,303,Personal,476431.44,3.67,60,2024-12-09,Active
188,2339,854,Mortgage,376715.01,11.13,120,2022-11-11,Active
189,5441,214,Mortgage,383484.5,11.68,36,2024-03-29,Active
190,5800,754,Personal,379585.51,3.5,360,2024-03-23,Active
191,2428,765,Mortgage,60674.65,7.21,36,2023-05-31,Active
192,7592,716,Auto,268022.68,9.05,60,2025-06-30,Active
193,6605,323,Auto,208174.55,8.6,60,2024-11-28,Active
194,838,381,Student,387820.45,6.18,60,2024-06-16,Paid
195,4906,529,Mortgage,108746.05,5.47,360,2021-11-04,Active
196,2258,259,Auto,263813.46,7.17,60,2022-02-06,Active
197,4547,303,Auto,97081.95,11.37,48,2025-09-21,Active
198,9569,814,Personal,495482.31,5.15,360,2022-05-25,Paid
199,9122,132,Mortgage,471629.63,3.99,120,2024-01-14,Active
200,1339,325,Student,450111.68,7.15,60,2025-01-11,Active
201,1000,754,Auto,68104.06,4.37,24,2024-11-30,Paid
202,6293,814,Student,369429.6,5.41,12,2024-03-07,Active
203,8316,328,Auto,209123.35,4.99,24,2022-04-01,Active
204,8530,384,Auto,175183.44,6.28,12,2024-07-28,Defaulted
205,1699,704,Student,139782.4,5.97,360,2023-02-19,Paid
206,469,259,Personal,289081.75,11.84,60,2022-03-30,Active
207,8109,489,Auto,156501.38,6.12,24,2025-03-10,Active
208,6634,559,Personal,346001.05,9.75,12,2022-10-02,Active
209,8865,127,Personal,424721.5,4.97,48,2025-04-19,Defaulted
210,2523,259,Personal,151974.5,6.92,12,2022-02-15,Paid
211,8299,765,Auto,405046.96,6.7,12,2024-02-12,Active
212,5466,792,Student,314728.34,4.49,360,2023-06-15,Paid
213,5458,444,Personal,78567.98,6.67,12,2025-11-10,Active
214,477,928,Student,292332.04,5.84,60,2022-12-18,Active
215,1195,259,Personal,8028.05,3.82,60,2024-10-29,Active
216,1439,559,Auto,116343.51,10.86,360,2022-10-10,Active
217,9268,381,Personal,269624.46,7.5,24,2025-11-11,Active
218,2459,529,Student,421674.07,11.67,48,2022-02-06,Active
219,352,814,Auto,256858.7,6.11,120,2022-12-21,Paid
220,2317,765,Mortgage,85142.45,6.28,360,2023-10-03,Active
